FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
95,BC-2023-2023-K52813,BC, ,2023-K52813,UPPER PARK RILL C...,49.301400000000001,-119.709100000000010,2023,8,18,2023-08-18 00:00:00,,2023-10-26 00:00:00,2043.800000000000000,H,H,Fire,FUL, , ,Upper Park Rill Creek, , ,2024-05-06 00:00:00
133,BC-2023-2023-C50100,BC, ,2023-C50100,DRIPPING WATER,52.035100000000000,-123.177000000000010,2023,4,27,2023-04-27 00:00:00,,2023-05-29 00:00:00,209.000000000000000,H,H,Fire,FUL, , ,E of Dripping Water Road, , ,2024-05-06 00:00:00
193,BC-2023-2023-G30210,BC, ,2023-G30210,Teare Creek,53.288400000000003,-120.070500000000000,2023,5,4,2023-05-04 00:00:00,,2023-08-09 00:00:00,1100.000000000000000,H,H,Fire,FUL, , ,Teare Creek, , ,2024-05-06 00:00:00
206,BC-2023-2023-C30675,BC, ,2023-C30675,ELBOW LAKE,52.254800000000003,-120.835200000000000,2023,6,8,2023-06-08 00:00:00,,2023-07-04 00:00:00,226.000000000000000,H,H,Fire,FUL, , ,1.1km NW of Elbow Lake, , ,2024-05-06 00:00:00
329,BC-2023-2023-V11152,BC, ,2023-V11152,DAVIS LAKE,49.311500000000002,-122.243799999999990,2023,7,4,2023-07-04 00:00:00,,2023-10-27 00:00:00,215.000000000000000,H,H,Fire,MOD, , ,0.5 km N Davis Lake - MODIFIED RESPONSE, , ,2024-05-06 00:00:00
330,BC-2023-2023-V10588,BC, ,2023-V10588,CHEHALIS RIVER,49.483699999999999,-121.988699999999990,2023,6,3,2023-06-03 00:00:00,,2023-11-27 00:00:00,767.200000000000050,H,H,Fire,MOD, , ,E of Chehalis River, , ,2024-05-06 00:00:00
444,BC-2023-2023-G80220,BC, ,2023-G80220,Boundary Lake,56.271000000000001,-119.934100000000000,2023,5,1,2023-05-01 00:00:00,,2023-10-11 00:00:00,6422.170000000000100,H,H,Fire,FUL, , ,Boundary Lake, , ,2024-05-06 00:00:00
462,BC-2023-2023-G80175,BC, ,2023-G80175,Cameron River,56.531900000000000,-121.924600000000000,2023,5,1,2023-05-01 00:00:00,,2023-10-05 00:00:00,385.000000000000000,H,H,Fire,FUL, , ,West of Cameron River, , ,2024-05-06 00:00:00
530,BC-2023-2023-K22757,BC, ,2023-K22757, ,51.462299999999999,-119.700800000000000,2023,7,17,2023-07-17 00:00:00,,2023-10-20 00:00:00,1771.900000000000100,N,N,Fire,MOD, , ,North Saskum Lake, , ,2024-05-06 00:00:00
539,BC-2023-2023-C11290,BC, ,2023-C11290,Townsend Creek,52.813800000000001,-122.934500000000000,2023,7,7,2023-07-07 00:00:00,,2024-01-09 00:00:00,2784.699999999999800,N,N,Fire,FUL, , ,2.5km E of Margaret Lake, , ,2024-05-06 00:00:00
541,BC-2023-2023-V51696,BC, ,2023-V51696,HOMATHKO RIVER,51.167900000000003,-125.017000000000000,2023,7,13,2023-07-13 00:00:00,,2023-11-14 00:00:00,238.000000000000000,N,N,Fire,MON, , ,Landmark Mountain, , ,2024-05-06 00:00:00
542,BC-2023-2023-G91494,BC, ,2023-G91494,2023 Holdover G91494,59.805100000000003,-121.785400000000000,2023,7,10,2023-07-10 00:00:00,,,6996.399999999999600,N,N,Fire,MON, , ,Petitot River, , ,2024-05-06 00:00:00
548,BC-2023-2023-G90776,BC, ,2023-G90776,2023 Holdover G90776,58.222600000000000,-123.884700000000000,2023,6,9,2023-06-09 00:00:00,,,804.460000000000040,N,N,Fire,MON, , ,5km North of Beckman Creek, , ,2024-05-06 00:00:00
552,BC-2023-2023-C11243,BC, ,2023-C11243,Branch Road,53.041899999999998,-123.406700000000000,2023,7,7,2023-07-07 00:00:00,,2023-08-05 00:00:00,1297.599999999999900,N,N,Fire,FUL, , ,W of 7 Branch Road, , ,2024-05-06 00:00:00
556,BC-2023-2023-G51474,BC, ,2023-G51474,2023 Holdover G51474,54.735300000000002,-125.175299999999990,2023,7,8,2023-07-08 00:00:00,,,1503.400000000000100,N,N,Fire,FUL, , ,West Creek, , ,2024-05-06 00:00:00
557,BC-2023-2023-V52804,BC, ,2023-V52804,TOBA RIVER,50.669300000000000,-123.988800000000000,2023,8,16,2023-08-16 00:00:00,,2023-11-14 00:00:00,302.000000000000000,N,N,Fire,MON, , ,NW of Toba River - MONITOR ONLY, , ,2024-05-06 00:00:00
562,BC-2023-2023-G91467,BC, ,2023-G91467,2023 Holdover G91467,59.283900000000003,-122.149500000000000,2023,7,9,2023-07-09 00:00:00,,,888.009999999999990,N,N,Fire,MON, , ,Shush Creek, , ,2024-05-06 00:00:00
566,BC-2023-2023-G41158,BC, ,2023-G41158,2023 Holdover Gatcho Lake,52.957099999999997,-125.672000000000000,2023,7,6,2023-07-06 00:00:00,,,21926.500000000000000,N,N,Fire,MOD, , ,1.5km SE of Gatcho Lake, , ,2024-05-06 00:00:00
569,BC-2023-2023-R31512,BC, ,2023-R31512,JOHN BROWN CREEK,55.010399999999997,-127.447599999999990,2023,7,10,2023-07-10 00:00:00,,2023-12-11 00:00:00,556.130000000000000,N,N,Fire,MOD, , ,John Brown Creek, , ,2024-05-06 00:00:00
575,BC-2023-2023-G92947,BC, ,2023-G92947,2023 Holdover G92947,59.226900000000001,-128.059100000000000,2023,8,25,2023-08-25 00:00:00,,,7301.750000000000000,N,N,Fire,MON, , ,Davie Creek, , ,2024-05-06 00:00:00
581,BC-2023-2023-G41560,BC, ,2023-G41560,2023 Holdover G41560,53.454099999999997,-124.205100000000000,2023,7,11,2023-07-11 00:00:00,,,1144.300000000000000,N,N,Fire,MOD, , ,Turff Lake, , ,2024-05-06 00:00:00
583,BC-2023-2023-N12046,BC, ,2023-N12046,Lladnar Creek,49.712800000000001,-114.920800000000000,2023,7,21,2023-07-21 00:00:00,,2023-10-25 00:00:00,1295.000000000000000,N,N,Fire,FUL, , ,Lladnar Creek, , ,2024-05-06 00:00:00
585,BC-2023-2023-C11499,BC, ,2023-C11499,Teepee Lake,53.166100000000000,-123.712599999999990,2023,7,9,2023-07-09 00:00:00,,2023-09-05 00:00:00,7864.000000000000000,N,N,Fire,FUL, , ,4.3km SE Teepee Lake, , ,2024-05-06 00:00:00
586,BC-2023-2023-G90709,BC, ,2023-G90709,2023 Holdover Ittsi Creek,59.826500000000003,-123.551900000000000,2023,6,4,2023-06-04 00:00:00,,,37793.900000000001000,N,N,Fire,MOD, , ,Ittsi Creek, , ,2024-05-06 00:00:00
590,BC-2023-2023-G41502,BC, ,2023-G41502,2023 Holdover North Lucas Lake,53.568199999999997,-125.245300000000000,2023,7,10,2023-07-10 00:00:00,,,34853.599999999999000,N,N,Fire,FUL, , ,North Lucas Lake, , ,2024-05-06 00:00:00
593,BC-2023-2023-G41493,BC, ,2023-G41493,2023 Holdover Davidson Creek,53.225200000000001,-124.906400000000000,2023,7,10,2023-07-10 00:00:00,,,4878.800000000000200,N,N,Fire,MOD, , ,Davidson Creek, , ,2024-05-06 00:00:00
613,BC-2023-2023-C11437,BC, ,2023-C11437,Pelican Lake,53.295999999999999,-123.668600000000000,2023,7,9,2023-07-09 00:00:00,,2023-09-05 00:00:00,4422.100000000000400,N,N,Fire,FUL, , ,2.5km N of Pelican Lake, , ,2024-05-06 00:00:00
617,BC-2023-2023-G90288,BC, ,2023-G90288,2023 Holdover G90288,59.963600000000000,-120.986600000000000,2023,5,11,2023-05-11 00:00:00,,,290073.320000000010000,N,N,Fire,MOD, , ,Hossitl Creek, , ,2024-05-06 00:00:00
620,BC-2023-2023-C40384,BC, ,2023-C40384,EMERALD LAKE,51.636600000000001,-121.925700000000010,2023,5,17,2023-05-17 00:00:00,,2023-06-15 00:00:00,536.000000000000000,N,N,Fire,FUL, , ,5.3km S of Emerald Lake, , ,2024-05-06 00:00:00
621,BC-2023-2023-G92940,BC, ,2023-G92940,2023 Holdover G92940,59.283799999999999,-121.890100000000000,2023,8,24,2023-08-24 00:00:00,,,71002.699999999997000,N,N,Fire, , , ,2km West of tommy creek, , ,2024-05-06 00:00:00
623,BC-2023-2023-N12546,BC, ,2023-N12546,Mount Bingay,50.161700000000003,-114.995000000000000,2023,8,6,2023-08-06 00:00:00,,2023-10-25 00:00:00,2512.000000000000000,N,N,Fire,MOD, , ,Mount Bingay, , ,2024-05-06 00:00:00
649,BC-2023-2023-VA1335,BC, ,2023-VA1335,DEAN RIVER,52.819099999999999,-126.649400000000000,2023,7,8,2023-07-08 00:00:00,,2023-11-10 00:00:00,2337.599999999999900,N,N,Fire,MOD, , ,Dean River, , ,2024-05-06 00:00:00
651,BC-2023-2023-G73406,BC, ,2023-G73406,2023 Holdover Mount Wartenbe,55.631900000000002,-121.427600000000000,2023,9,13,2023-09-13 00:00:00,,,1246.000000000000000,N,N,Fire,FUL, , ,Mount Wartenbe, , ,2024-05-06 00:00:00
666,BC-2023-2023-C51571,BC, ,2023-C51571,ANAHIM PEAK,52.772799999999997,-125.580200000000000,2023,7,11,2023-07-11 00:00:00,,2024-01-17 00:00:00,3350.000000000000000,N,N,Fire,FUL, , ,NE of Anahim Peak, , ,2024-05-06 00:00:00
